task,label,text,rationale,combine_flag
beer2,0.6,"s : soft fruit , earthy hops , and a bready malty backbone make this one of the most balanced noses i 've come across . pretty good . its like a subtle version of sweetwater ipa .  a little thin . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 01 1 1 1 ,1
beer2,0.6,"a - pours a pale , clear yellow , with a huge , billowing three fingers of rocky head . plenty of lacing and excellent retention .  tastes smooth and creamy sweet malt with light fruit flavor hints of spice and light alcohol finish good easy drinking beer little on light side but it does enhance drinkability . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 01 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 ,0
beer2,0.6,"pretty shitty pour on my behalf , with nearly two fingers of off-white , light tan head . slightly hazy burnt orange in color , very pretty to look at . head retention is stellar .  feels quite frothy and wild , perhaps a little over done . the carbonation also seems to mess with the flavor in a distracting sort of way . i get the impression that i 'm missing some of the flavor due to the wild carbonation . the big downfall for me was the carbonation . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 01 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 1 1 1 ,0
beer2,0.6,"as soon i popped open the cap on the bomber , i could smell the aroma , and this came right out of the fridge . some sweet caramel malt shows up as the beer warms up further , but the hop aroma also improves nicely . taking a sip , some tropical fruit and citrus bitterness upfront , then a wash of caramel and bread malt finishes off the tongue . after such a nice aroma , i was slightly disappointed the flavor of the hops did n't play a bigger part in the taste , but still a good dipa . light to medium body with some nice gently prickly carbonation and lightly slick on the tongue .  m : light to moderate body with very little carbonation ( like a cask ) . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 00 0 0 0 0 0 1 1 1 1 1 1 1 1 1 0 ,1
beer2,0.6,frothy head ! that 's pretty much the highlight of this one .  m : light body . ,0 0 0 0 0 0 0 0 0 0 0 0 00 0 1 1 0 ,0
beer2,0.6,"pours a crystal clear deep caramel color with red highlights and has a two finger head that lasts forever .  mouthfeel is a dissapopintment . with this much head , had little carbonation to feel and was also a bit watered down for my taste . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 01 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 ,0
beer2,0.6,a - black with an enormous head that takes an eternity t fade and leaves thick webs of lacing everywhere on the glass . a mountain of head rests in the middle over still half an inch of head . very pretty .  mouthfeel is a little more thin than i would prefer . ,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 00 0 1 1 1 0 0 0 0 0 0 ,0
beer2,0.6,"the aroma is excellent , it smells like brown sugar , raisins , figs , cherries , belgian yeast , rum , ginger and some pepper . there 's also a bit of a bitter finish , which i did n't expect since the aroma was so sweet and malty .  medium carbonation and body . nose is the normal malty/hoppy-ness of a porter , starts malty and hoppy and finishes with a nice mostly malty bite . very fresh - brewed 12/13/03 . the abv is 4.5 % . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 01 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,2
beer2,0.6,"from notes 9/8/08 : einhorn beer company hefe vigorous pour into my hefe glass yields 2 fingers worth bananas , bananas , bananas good carbonation great nose mouth feel is a little thin , finish is thin left minimal lacing and zero head retention overall i would say , well balanced and a good example of the style . i still think it 's a good example of the style and a refreshing hefe .  holy crap , i think this is the first `` 1 '' i have ever given on taste for a brew . the only thing i can taste is friggin licorice and i hate licorice . this is a bad , bad brew , enough said . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 01 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 0 0 0 ,2
beer2,0.6,"s - grape and cherry permeate the aroma , possibly including some blueberry or tart apple . t - being a lover of wine , too , i immediately taste the tannic presence of the zinfandel . the cherry and tobacco notes from the zinfandel are appealing , however , and keep this from being a horrible score .  if you like pecan you will like this . s- a little too light weight for me . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 01 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,1
beer2,0.6,"this beer poured a beautiful , crystal clear cherry brown with little clumps of off white head the left behind a few spots of lace .  mouthfeel - average . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 01 1 1 1 ,0
beer2,0.6,"very minty aroma , with really nice accompanyments of herbs , earth , yeast , lemon , and hay - wow , what an unexpected combo ... .  mouthfeel was rather thin for a porter . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 01 1 1 1 1 1 1 1 ,1
beer2,0.6,"appearance : pours a clear amber body with a dense , lush off-white head .  however , you have few choices , this is most likely your cheapest option and most widely drank option . it wasnt terrible , but it just had no real good flavor . if i had a choice between coors light and this , i would have to choose the cheaper of the two , as they are about the same . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ,0
beer2,0.6,"whoa ! crazy huge impossible head . looks good once you get it into the glass .  m : light to medium body with fairly high , rough carbonation . lively enough , but a bit unrefined . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 00 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,0
beer2,0.6,amazing aroma ! like nothing i 've ever smelled in a beer .  mouthfeel : medium body with tingly carbonation and an extremely dry finish . ,0 0 0 0 0 0 0 0 0 0 0 0 00 0 1 1 1 1 1 1 1 1 1 1 0 ,2
beer2,0.6,"pours a dark as night black from my `` bomber '' bottle . looks great .  smell the smoke , not overpowering and nice . this is a mild tasting smoke beer . recommended for those who find other overwhelming . this is something i could drink alot without geting tired of the smoky taste . seems like the lager styles are milder . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 00 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,0
beer2,0.6,"this beer pours a deep , deep amber color that glistens a rich and gorgeous mahogany when held to light . not as dark as i expected , i was pleasantly surprised with the look of this beer and spent nearly a minute admiring it before having a smell .  the mouthfeel is somewhat lacking , however . the lighter mouthfeel only makes this brew easier to drink . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 00 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 ,0
beer2,0.6,"nitro tap into pint glass a : tar black . the softest , tightest head i 've ever seen . beautiful .  it was listed as an imperial stout , but had a relatively light body for such a labeling . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 00 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 0 ,0
beer2,0.6,"750ml bottle opens with a pop , the deep black liquid pours into a chalice and generates a big amount of cascading foam . it 's surface is actually convex at first , and transitions in color as the liquid trickles through it . the cappucino tan head fades into a charred mahoghany tone closer to the liquid line . fantastic .  mouthfeel was a little lacking considering the initial sweetness . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 01 1 1 1 1 1 1 1 1 1 ,0
beer2,0.6,"a- this beer is a yeast hazed golden color with a moderate amount of carbonation rising to the top . the head is nice and white , and has a cloud like texture that is dense . the lacing is also excellent , with dense bubbly goodness clinging to the glass like nothing .  i found it very highly carbonatedalmost too carbonated ( prickly , carbonic qualities are a bit distracting ) . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 00 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 ,0
beer2,0.6,"appearance : pours a hazy orange caramel color with a huge 4 finger thick and creamy off-white head . a touch of sediment pools right on top of the billowy head . the head was so big it rose a full 2 fingers above the rim of the goblet . perfect head retention .  m : just a tiny bit heavier than what i would consider light bodied . wish it had a bit more carbonation , it just feels watery . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 00 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 ,0
beer2,0.6,"very dark appearance with a beautiful tan head . smelled like hazelnut , vanilla , and butterscotch candy . it was very tasty and could see this beer paired well with a desert like tiramisu or cheesecake .  first sip , light bodied brew with almost no carbonation , little watery texture but very crisp , and refreshing on this humid summer eve . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 00 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 ,1
beer2,0.6,"appearance & gt ; black like coffee . great lacing . the ipa is so dark , you 'd never recognize it ... in fact , deschutes calls it a new style `` cda '' -- - cascadian dark ale .  mouthfeel is highly carbonated , i feel a little less carbonation may showcase this beer a little better but overall this beer rocks , i 'm glad i got to try it ! ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 01 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ,0
beer2,0.6,"nitro widget results in an absurdly creamy white head that looks and tastes like whipped cream . phenomenal lacing .  m- fairly light and refeshing feel . pretty smooth , but a little over carbonated for the style though . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 01 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,0
beer2,0.6,"smells like a beer should in a real classic beer smell that makes beer heritage proud .  feel is a little thin , flat and viscous . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 01 1 1 1 1 1 1 1 1 1 ,2
beer2,0.6,"definitively one of the better smelling ipas i 've had in awhile . overall : 4 great smelling beer , but the taste profile is more average to me .  m : a bit thin and watery ; smooth , but i prefer my hefes with a little more body . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 00 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,1
beer2,0.6,"s : pure cherry aroma , sweet , pie crust like malt ; this smells like a fresh baked cherry pie ! m : light-bodied , lightly carbonated , watery/lightly silky up front with a crisp , tart finish , wait for it ... like a cherry .  this beer is just flat out terrible . it smells like a loaf of bread soaking in a very bad pitcher of beer . flavor is sour with a hint of bitterness but just plain bad..the only thing i can say for davidson brothers at this point was this beer was not bottled by you it was bottled by shipyard brewing and hopefully they trashed it not you . i do not reccomend this beer to anyone , besides people who like budweiser because it might be slightly better than that . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 01 1 1 1 1 1 1 1 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 ,1
beer2,0.6,"the aroma is nothing short of phenomenal . the aroma is citrusy and spicey with a lot of fruits and a touch of barnyard funk that i have come to love in good saisons .  mouthfeel is a tad disappointing , not quite as slick , oily , or full as i would have preferred . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 01 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,1
beer2,0.6,"color is a rick dark red-brown with no cloudiness .  let me start this by saying that i love all of gl 's beers and appreciatte their quality and price . taste was more of the same with a surprising cooked spinach taste also . aftertaste was also quite disturbingleaving a lingering vegetable taste . i bought a sixer of this beer but could only stomach four of them . i do n't know if the beer intended to taste like this , but even gl makes a mistake every once in a while . ",0 0 0 0 0 0 0 0 0 01 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,0
beer2,0.6,"a : looks pretty impressive .  the same followed through to the taste , some malt , but again ruined by the corn . it is smooth , and with the light body it probably would n't be bad in the summer . ",0 0 0 0 0 00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 ,0
beer2,0.6,"unbelievable retention , and perfect lacing .  m : light body , slight effervescence ... not much here . ",0 0 0 0 0 0 00 0 1 1 1 1 1 1 1 1 1 0 ,0
beer2,0.6,"the beer as it sets in my chalice a pitch-black with the head modest in size and the texture semi-creamy and the color a nice light chocolate color as it ever so slowly dissipates , the lace forms a concealing veil to hide the glass from view .  the mouthfeel is a bit thin , but the flavor makes up for it . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 00 0 0 1 1 1 0 0 0 0 0 0 0 0 0 ,0
beer2,0.6,"great lakes blackout stout ( 2006 release ) poured deep black topped by a thick mocha head and outstanding lacing .  claims to be be a no carb beer , better described as a no taste beer . almost clear in appearence . it was refreshing i give it that , and if it was really , really hot , it would be a plesant drinking experience , but if you actually want your beer to taste like beer , i 'd give it a miss . it seemed to have gone after the gimmick ( nop carbs ) rather than trying to produce a flavoursome beer . it 's a shame as i hear the rest of the burleigh range is okay . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 00 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 ,0
beer2,0.6,s : surprised with the nose on this one . plenty of flaral hops . sweet malts in the foundation and a nice citrus zest to freshen it up . t : biscuity malts that were n't very sweet up front left it a little flat ( maybe just a let-down from the smell ) .  mouthfeel - medium body mouthfeel . a tad bit watery . ,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 01 1 1 1 1 1 1 1 0 0 0 ,1
beer2,0.6,"this one pours a clear copper with a huge nitro head that slowly settles into a finger 's of dense , creamy head .  this beer was an amber color with a thick white head that dissipated quickly . a nice fruity/spicy taste , with some warmth in the aftertaste . it was a little too fizzy for me , but still a very smooth and drinkable beer ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 01 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,0
beer2,0.6,"a : pours a most pale straw hue , just slightly hazy ; fast growing , huge and tightly silky white froth ( exactly like a perfectly aerated capuccino head ) sustains brilliantly , supported by a lively carbonated body underneath .  m : medium bodied . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 01 1 1 1 1 ,0
beer2,0.6,"absolutely gorgeous .  mouthfeel : medium body , light carbonation . ",0 0 00 0 1 1 1 1 1 0 ,0
beer2,0.6,"2011 vintage a- pours a bright orange with a massive fluffy head , very tight bubbles , thick and sticky lacing all over the glass .  m : oily texture with average carbonation and a bitter finish . the mouthfeel is the weakest aspect of the beer . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 00 0 0 0 1 1 1 1 1 1 1 0 0 0 0 1 1 1 1 1 1 0 ,0
beer2,0.6,"a- pours a sunset orangey red hue with a nice , 2 finger frothy head which leaves a ton of lacing on the way down .  mouthfeel is okay , but not great . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 01 1 1 1 1 1 1 1 ,0
beer2,0.6,"s- instantly my nose is greeted with the odor of resiny pine and strong grapefruit . very hoppy to say the least . some bread in here too .  a : clean , dark brown/amber , no sediment s : malty , dark fruit , and caramel , t : well balanced bitterness , malty , thick syrupy , dark fruit and caramel , m : thick , smooth , lack of carbonation is the big detracting factor , d : as noted , we had two to make sure - the alcohol is subdued and we quickly finished both bottles ; it 's really that good . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 00 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 ,2
beer2,0.6,"a ) looks great ... deep dark black with a thick cocoa head .  quite honest and good mnchner beer . better than most of the german lagers , like warsteiner , lwenbru and bitburger . excellent taste , nice smell , very good appearance and drinkability . good balance among malt , yeast and hops . it worth a try , for sure . ",0 0 0 0 0 0 0 0 0 0 0 0 0 01 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,0
beer2,0.6,"poured a deep cloudy yellow , with a tall creamy head that dropped down to 1/8 ' lasting head with some lacing . man that 's a good looking beer .  lots of bitter orange , banana , even cinnamon in the taste , with smooth but underwhelming mouthfeel . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 00 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 ,0
beer2,0.6,"pours slightly cloudy golden orange color with 2 fingers of a dense off white head with incredible retention that reduces to a thick cap that lasts forever .  body is medium full , but the carbonation is quite low . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 00 0 1 1 1 1 1 1 1 1 1 1 ,0
beer2,0.6,"s : funky barnyard aromas up front , but it is not overwhelming . lots of subtle complexities in the nose . i love the nose , but the flavor is really bland .  mouthfeel is average . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 01 1 1 1 ,2
beer2,0.6,"amazing fruit nose . taste : surprisingly simple after such a complex nose . initially , some ever-so-slightly bready malts and some black pepper and pine resin . eminently quaffable .  m- medium body , goes down smooth . i was n't too impressed with the mouthfeel . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 00 0 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 ,1
beer2,0.6,"a- pours a hazy straw yellow with the whitest head of foam out there . literally , one of the most impressive looks for a dipa that is around s- lots going on here .  mouthfeel lacked continuity . good weight for a bpa though and a nice interpretation of the style . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 01 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,0
beer2,0.6,"deep-ass black , the darkest head ive seen yet , this just after drinking black tuesday and the abyss . pillowy too .  mouthfeel was a bit of a letdown . it seems the cask had been open for a little while , as the natural carbonation was quite weaker than other cask beers i 've had . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 01 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 ,0
beer2,0.6,"s - intriguing smell , quite unusual . honey , bread , licorice , bubblegum ( heaps ) , sweet liqueur , strawberry and various flower aromas . crazy ! o - just a wacky beer all over . aroma is simply amazing . overall though probably a little bit hardcore given the exceptionally high levels of carbonation and peculiar combination of tastes .  it 's light on the palate and slightly dry . i 'm not a huge fan of wheat beers but this one is really not to my liking . ",0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 01 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 ,2
